,ID,position_n,position_p,angle_p,angle_n,expression_p,expression_n,sharpness_p,sharpness_n,background_p,background_n,exposure_p,exposure_n
0,1,-0.023142857142857146,0.04942857142857143,0.4731047619047617,-0.010166666666666664,0.18755178545843795,-0.0977941717559037,0.6409226590395409,-0.07558319751293928,0.39965892995856894,-0.07978941557132294,0.2668079820636166,-0.09967021685240725
1,2,-0.22310476190476036,0.3500488095238095,0.019452380952380957,-0.005666666666666667,0.5194290757386962,-0.09283925956688616,0.7328756925884259,-0.028476982513821605,0.6144693816902785,-0.10008227532929681,0.3273721373187253,-0.10011588235317506
2,3,-0.06790952380952377,0.2740952380952392,0.3281023809523812,-0.011666666666666662,0.19840901775748968,-0.09780968259167931,0.8964628259422963,-0.05081037348738392,0.552115424202202,-0.09966623527329443,0.2882082930349596,-0.0663808649880929
3,4,-0.33442857142857024,0.16901785714285672,0.2790238095238078,-0.14015238095238156,0.06430712626502577,-0.09342479527639964,0.8010848717209962,-0.08221230405199875,0.10292629581454418,-0.43365569406515464,0.18896182947147389,-0.09980923510148251
4,5,-0.0025000000000000005,0.021761904761904753,0.02192857142857143,-0.10880952380952465,0.5226119486116132,-0.09587213570897314,0.46229228385890336,-0.05985815358648415,0.39988160477414997,-0.30210191023195876,0.25472895513053184,-0.10003084084920968
5,6,-0.1387888888888898,0.06005238095238089,0.41440952380952406,-0.017782142857142854,0.1462466877428022,-0.09917175746745936,0.4407818306689216,-0.04585311982995339,0.09993250510116966,-0.7330816892547073,0.6778912230498296,-0.15971555590207387
6,7,-0.008666666666666668,0.12391428571428702,0.7701428571428613,-0.018761904761904768,0.13818969631207742,-0.09805139729644498,0.6643721731473747,-0.0435937626060554,0.23300933715412928,-0.2174202554000135,0.5664452926832224,-0.10034437743497211
7,8,-0.03142857142857146,0.1822190476190465,0.3646380952380937,-0.4507142857142855,0.17505777039177953,-0.09761053495791314,0.21715471665311045,-0.2211799238029273,0.10010826825673419,-0.36526005710539744,0.07472880728940397,-0.5665487823910296
8,9,-0.010152380952380953,0.13442857142857242,0.42062857142857174,-0.011809523809523801,0.5151064800159629,-0.09526612184137558,0.38926637172921336,-0.0997747721510897,0.4002968542640029,-0.10028123713128155,0.43288999960248553,-0.18955667419118663
9,10,-0.21729761904761735,0.0570047619047619,0.04802857142857136,-0.00717619047619048,0.18286782566516258,-0.09881287921605568,0.6597314371980822,-0.09118889177989198,0.10018416470712727,-0.5665030125498924,0.23306474746310826,-0.23304472586331354
10,11,-0.21980952380952565,0.015797619047619036,0.08219523809523818,-0.033833333333333354,0.07852035515189588,-0.09974399819637637,0.4877146940695737,-0.07203661237158501,0.10020357889210771,-0.6332577076684124,0.24047406291147586,-0.09973974469199946
11,12,-0.006,0.02779761904761906,0.04114285714285715,-0.004476190476190476,0.21469884275309278,-0.09884382903581744,0.5520369956409883,-0.04913179551535815,0.266891110349035,-0.39956255126332824,0.1933159490989827,-0.1000481163560658
12,13,-0.1400523809523816,0.2642000000000019,0.1388238095238095,-0.019380952380952388,0.5330483575851018,-0.09873127854543397,0.7662084038223065,-0.0799870119457011,0.399857460974712,-0.26713419516513776,0.26687287154310074,-0.10002144525742175
13,14,-0.001761904761904762,0.12283809523809647,0.3388095238095224,-0.008833333333333334,0.23359002277134255,-0.09985282035895418,0.6039041794946265,-0.08600298360292477,0.7331671870392714,-0.07995616107997991,0.0666139043364026,-0.018361389812340066
14,15,-0.029190476190476187,0.05270476190476187,0.8711559523809531,-0.021152380952380964,0.5440617493455899,-0.09626337830561597,0.7204924731736283,-0.08831965736795575,0.4209000232762466,-0.09969694411725037,0.3517303826097261,-0.24392593171708582
15,16,-0.00854761904761905,0.25747619047619186,0.4512619047619052,-0.14989047619047632,0.11309957275107292,-0.10103374809872519,0.81888961736338,-0.06878240968278833,0.3998517864809069,-0.10024533478713085,0.23997900119360208,-0.10010612416319402
16,17,-0.027076190476190486,0.2486380952380972,0.523075,-0.012571428571428572,0.5390389060577163,-0.09925466734278589,0.7338104281913006,-0.09123761089342666,0.23343591119960805,-0.2328615299251898,0.10035875717105797,-0.10011116467692581
17,18,-0.0036428571428571417,0.017238095238095223,0.06056428571428575,-0.11341071428571525,0.28229606750524705,-0.35507902145714665,0.7146286869715391,-0.06345185094194372,0.1516083677115108,-0.4299725913138906,0.2618276012068485,-0.0582616760084067
